ID,Sex,JulianDay,Easting,Northing
377,F,109,643145.3609,5266846.462
378,F,109,633726.0576,5269802.225
379,M,109,633218.8467,5270626.781
380,F,109,616933.2073,5262778.786
381,F,109,607449.1171,5266165.489
384,F,109,607700.2144,5260867.249
386,F,109,607020.6671,5245267.818
387,F,109,606052.1354,5245729.404
389,F,109,612149.4687,5239924.931
390,F,109,602801.4248,5246735.531
392,M,109,609761.7303,5225039.221
393,F,109,608373.2614,5218509.448
209,F,110,611173.0044,5228281.603
334,M,110,614341.9113,5262700.88
362,F,110,655128.5328,5283485.85
374,M,110,652562.1865,5281954.402
376,F,110,609452.3007,5245120.241
377,F,110,644309.6732,5267021.887
378,F,110,633149.4766,5270270.5
380,F,110,616903.8544,5263983.361
381,F,110,607739.7215,5265551.614
382,M,110,614348.6883,5262701.012
384,F,110,607509.4976,5261036.057
386,F,110,609479.6765,5245191.899
387,F,110,607520.1832,5245094.613
389,F,110,612670.4515,5240282.832
390,F,110,602905.1134,5246766.247
392,M,110,610722.5934,5224452.373
393,F,110,607137.4789,5218944.988
209,F,111,611095.4629,5230189.993
334,M,111,612046.6177,5262899.937
362,F,111,655075.5082,5283531.144
374,M,111,651799.5993,5281645.301
375,F,111,654089.4442,5274364.541
376,F,111,610033.6824,5244210.608
377,F,111,643226.839,5266471.496
378,F,111,633043.1879,5270146.878
379,M,111,632146.208,5267920.498
380,F,111,616187.0384,5263974.633
381,F,111,607619.4909,5265498.26
384,F,111,607682.7095,5260835.799
385,F,111,607807.7805,5256987.162
386,F,111,610254.2597,5244133.584
387,F,111,608836.2774,5244032.702
389,F,111,612023.2588,5240716.281
390,F,111,602589.7713,5246486.159
392,M,111,610684.0741,5224566.154
393,F,111,607522.1448,5218739.629
334,M,112,611591.7292,5263093.577
362,F,112,655043.3681,5283553.641
375,F,112,654133.9354,5274360.157
376,F,112,610254.5586,5243593.307
377,F,112,643112.7658,5266301.904
378,F,112,633629.0118,5269636.552
379,M,112,631167.7151,5266508.584
380,F,112,616993.1359,5262795.549
381,F,112,607303.899,5265792.62
382,M,112,611590.1173,5263099.105
384,F,112,607657.1846,5260789.75
385,F,112,607805.2358,5256961.546
386,F,112,610345.7173,5243447.161
387,F,112,608658.4551,5245436.805
389,F,112,611908.91,5240606.273
390,F,112,602969.2169,5246728.462
392,M,112,610365.9481,5227232.641
393,F,112,607528.6644,5218547.435
209,F,113,610742.896,5237029.069
334,M,113,610959.3357,5264307.787
362,F,113,654970.469,5283583.949
374,M,113,650757.2783,5281924.009
376,F,113,610573.4371,5243112.369
377,F,113,642925.1714,5266520.821
378,F,113,633057.1706,5269962.62
379,M,113,631478.5614,5266078.599
380,F,113,617974.4476,5261948.071
381,F,113,607098.8983,5265394.202
382,M,113,610954.6356,5264277.681
384,F,113,608761.5629,5261816.267
385,F,113,607749.9754,5256850.471
386,F,113,610572.786,5243106.798
387,F,113,610640.427,5243126.968
389,F,113,612500.427,5240039.456
390,F,113,602865.1908,5246803.345
392,M,113,612262.4912,5227686.318
393,F,113,607186.9892,5218556.814
209,F,114,610731.4059,5236875.441
362,F,114,654967.1318,5283568.29
375,F,114,654004.0148,5274238.841
377,F,114,643253.2252,5266900.257
378,F,114,632957.1717,5270157.149
379,M,114,630464.4287,5266477.272
380,F,114,616558.63,5261956.385
381,F,114,607109.0659,5265537.799
384,F,114,609139.5497,5261059.556
385,F,114,607813.0184,5256948.348
386,F,114,609983.2686,5244926.706
387,F,114,609338.1317,5245775.126
389,F,114,612621.1973,5240169.609
392,M,114,612371.171,5226991.362
362,F,115,654947.6998,5283621.154
374,M,115,651475.6285,5282518.738
375,F,115,653905.4474,5274211.772
377,F,115,642970.156,5266836.612
378,F,115,633178.5719,5270116.608
379,M,115,628821.8753,5267487.094
381,F,115,607682.2102,5265608.363
393,F,115,607177.6445,5218569.985
362,F,116,655336.0917,5282940.893
374,M,116,651903.1957,5283315.03
375,F,116,653743.8875,5274263.113
377,F,116,643242.9868,5266734.32
378,F,116,632903.3325,5270109.222
379,M,116,627988.2108,5267605.527
381,F,116,608145.6567,5264689.748
392,M,116,609030.9254,5225821.655
393,F,116,607491.4637,5218590.115
362,F,117,656392.3122,5284214.802
374,M,117,652978.613,5282713.785
375,F,117,653637.4003,5274565.018
377,F,117,643228.2524,5266751.751
379,M,117,628222.257,5267814.131
381,F,117,608368.3766,5264901.764
392,M,117,610784.0575,5224409.057
393,F,117,607510.9536,5218561.566
374,M,118,651813.1433,5281845.831
375,F,118,653990.3182,5275070.326
377,F,118,643140.0213,5266818.531
379,M,118,628372.3018,5268110.96
392,M,118,609915.8628,5224536.279
362,F,119,656356.927,5284218.299
374,M,119,648215.4292,5283518.968
375,F,119,654034.1943,5275003.647
378,F,119,633618.1499,5269880.923
379,M,119,628049.0803,5267919.294
381,F,119,607780.8894,5264502.914
392,M,119,608716.5745,5225191.127
393,F,119,607503.0448,5218579.208
362,F,120,656356.2365,5284216.056
375,F,120,654033.5603,5274999.182
377,F,120,643008.227,5266880.911
378,F,120,633939.7651,5269737.075
379,M,120,625684.2872,5270320.66
381,F,120,607627.9036,5264632.39
392,M,120,608136.5883,5225443.962
393,F,120,607103.6818,5218505.286
362,F,121,656430.2081,5284090.151
374,M,121,648928.7854,5283665.091
375,F,121,653790.2892,5274870.427
377,F,121,643000.0307,5266969.669
378,F,121,633547.0905,5269829.261
379,M,121,626368.1728,5270531.115
393,F,121,607983.8865,5218345.607
362,F,122,656441.8159,5284356.264
374,M,122,647864.7607,5284168.374
377,F,122,642927.3874,5266768.847
378,F,122,633224.9716,5270226.634
379,M,122,625283.0387,5271207.069
374,M,123,648583.329,5284254.539
392,M,123,610376.1572,5222252.613
393,F,123,607950.3219,5218271.629
374,M,124,651458.8306,5281664.219
378,F,124,633187.123,5270203.532
379,M,124,622784.668,5272033.413
392,M,124,610113.6642,5221358.41
393,F,124,607271.7471,5218653.946
374,M,125,652102.9564,5281936.811
377,F,125,642951.7007,5266421.392
378,F,125,633197.5925,5270239.352
379,M,125,622420.9639,5271945.717
392,M,125,609692.0882,5220405.694
374,M,126,652618.4415,5282214.996
378,F,126,633989.928,5269813.836
392,M,126,608901.1468,5220510.057
393,F,126,609269.6088,5217928.944
374,M,127,651988.5295,5282032.795
377,F,127,642949.1068,5266373.513
378,F,127,633989.877,5269816.059
379,M,127,622666.5507,5271927.528
392,M,127,609357.9323,5220465.108
393,F,127,609665.819,5217722.82
374,M,128,651724.7664,5282382.887
377,F,128,642935.417,5266502.168
378,F,128,633989.0228,5269820.487
379,M,128,622313.2169,5271667.723
392,M,128,610204.7226,5218580.988
393,F,128,607513.9277,5218564.954
374,M,129,651996.1473,5281511.424
377,F,129,643006.7027,5266297.084
378,F,129,633980.928,5269812.518
379,M,129,622312.3486,5271673.264
381,F,129,608113.1555,5264859.24
392,M,129,609869.7758,5218144.57
393,F,129,609726.89,5217703.939
374,M,130,652741.9707,5282115.927
375,F,130,653460.8338,5274758.319
377,F,130,642935.9249,5266512.188
378,F,130,633152.5695,5270233.877
392,M,130,609999.0056,5218992.924
393,F,130,609457.7137,5217894.616
377,F,131,643064.9789,5266469.755
378,F,131,633227.3964,5270252.264
379,M,131,622827.6239,5272136.606
392,M,131,607068.5758,5218600.252
393,F,131,607849.6788,5218255.347
374,M,132,652908.0185,5281685.461
377,F,132,642983.663,5266407.718
378,F,132,633186.8186,5270216.868
379,M,132,623257.9576,5271739.865
392,M,132,609492.1844,5218124.249
393,F,132,609480.1683,5217870.574
374,M,133,651279.4007,5281545.004
378,F,133,633183.8611,5270214.577
393,F,133,609671.2934,5217755.159
374,M,134,652650.2868,5282203.599
377,F,134,642929.456,5266284.074
378,F,134,634066.5194,5269755.551
379,M,134,623078.2083,5273627.299
392,M,134,609953.7315,5218569.66
393,F,134,609688.7874,5217712.128
374,M,135,650764.6086,5281873.044
379,M,135,623210.351,5273885.813
392,M,135,607437.3984,5218600.251
393,F,135,609520.9969,5217879.109
374,M,136,650303.6977,5282298.158
375,F,136,652140.4954,5277022.37
377,F,136,643050.6798,5266469.405
378,F,136,633989.2779,5269809.374
379,M,136,626034.6081,5273537.028
392,M,136,607102.2246,5221064.222
393,F,136,609692.3758,5217723.311
374,M,137,650856.5803,5281657.461
375,F,137,652348.5635,5277201.295
377,F,137,643128.3598,5266894.972
