ID,Sex,Used,JulianDay,Easting,Northing,elevation,shrub,pfg,afg,tree
362,F,1,113,654970.469,5283583.948,724,0,27,0,0
362,F,1,114,654967.1318,5283568.29,724,0,27,0,0
362,F,1,115,654947.6998,5283621.154,754,0,27,5,0
362,F,1,116,655336.0917,5282940.893,706,0,18,4,0
362,F,1,117,656392.3122,5284214.802,702,0,22,1,0
362,F,1,119,656356.927,5284218.298,722,1,21,1,1
362,F,1,120,656356.2365,5284216.056,722,1,20,1,1
362,F,1,121,656430.2081,5284090.151,693,1,21,5,1
362,F,1,122,656441.8159,5284356.264,722,2,17,3,2
362,F,1,123,656377.4578,5284236.645,718,0,19,0,0
362,F,1,124,656349.1302,5284284.817,729,0,14,1,0
362,F,1,125,656323.2305,5284298.578,729,0,19,2,0
362,F,1,126,656361.2523,5284252.891,714,0,14,1,0
362,F,1,127,656359.6918,5284255.073,714,0,14,1,0
362,F,1,128,656376.316,5284223.269,718,1,21,1,1
362,F,1,129,656346.6671,5284264.732,728,0,14,2,0
362,F,1,130,656256.3025,5284302.338,753,1,15,3,1
362,F,1,131,656355.3122,5284278.31,714,0,14,1,0
362,F,1,132,656321.6402,5284301.871,729,0,19,2,0
362,F,1,134,656360.4693,5284226.179,718,1,21,1,1
362,F,1,135,656348.7088,5284272.572,728,0,14,1,0
362,F,1,136,655251.0966,5284014.045,733,0,20,6,0
362,F,1,137,656563.7456,5284178.27,706,0,27,0,0
362,F,1,138,656563.8055,5284176.047,706,0,27,0,0
362,F,1,139,656377.4279,5284237.757,718,0,19,0,0
362,F,1,140,654910.1499,5283621.265,754,0,29,3,0
362,F,1,141,654452.1161,5279716.682,678,0,14,3,0
362,F,1,142,654661.0218,5279264.042,687,0,9,2,0
362,F,1,143,654436.4365,5280024.32,692,0,25,3,0
362,F,1,144,654529.1864,5280096.845,679,5,30,1,5
362,F,1,145,654544.1695,5279702.445,712,0,25,2,0
362,F,1,146,654447.0367,5279709.875,690,0,14,3,0
362,F,1,147,654670.9446,5279286.547,688,0,31,3,0
362,F,1,148,654609.1128,5279322.716,659,5,8,4,5
362,F,1,149,654428.0082,5280172.007,652,6,19,5,6
362,F,1,150,654453.4409,5279723.39,678,0,14,3,0
362,F,1,152,654389.9259,5279143.409,650,1,18,3,1
362,F,1,153,654582.1963,5279317.553,652,0,20,2,0
362,F,1,154,654394.6193,5280127.749,687,0,32,1,0
362,F,1,156,654621.6429,5279331.946,659,6,14,4,6
362,F,1,157,654488.5771,5279900.036,707,5,27,4,5
362,F,1,158,654632.6159,5279286.641,688,1,18,1,1
362,F,1,159,654637.2143,5279226.709,670,1,13,2,1
362,F,1,161,654562.045,5279199.134,637,1,9,4,1
362,F,1,162,654367.103,5280117.009,673,0,20,2,0
362,F,1,163,654712.9443,5279233.17,646,15,41,1,15
362,F,1,164,654628.806,5279232.046,670,1,13,3,1
362,F,1,166,654638.8476,5279448.063,629,2,45,6,2
362,F,1,167,654648.4789,5279227.009,676,1,13,2,1
362,F,1,168,655138.3284,5279175.543,678,0,13,2,0
362,F,1,169,655091.2841,5278854.001,647,0,26,5,0
362,F,1,170,656541.1358,5284487.947,724,0,15,3,0
362,F,1,171,656519.4351,5284457.334,707,2,22,5,2
362,F,1,173,656683.2739,5284535.151,772,2,61,7,2
362,F,1,174,658146.0946,5282983.295,684,0,3,1,0
362,F,1,175,656245.3465,5284290.922,734,1,17,3,1
362,F,1,176,656558.171,5284301.567,742,1,18,2,1
362,F,1,177,658143.0321,5282985.436,684,0,3,2,0
362,F,1,178,656346.2485,5284280.291,729,0,14,1,0
362,F,1,179,656713.4896,5284361.36,750,2,40,5,2
362,F,1,180,658175.0066,5282969.623,679,0,29,1,0
362,F,1,181,658162.9932,5282997.1,685,0,3,1,0
362,F,0,91,650450.1619,5268745.191,765,1,0,0,1
362,F,0,92,625661.3199,5270279.553,734,0,23,1,0
362,F,0,93,643455.665,5269377.491,619,6,76,3,6
362,F,0,94,649578.4483,5274577.824,704,0,87,2,0
362,F,0,95,630718.848,5271230.651,712,4,21,7,4
362,F,0,97,635537.3404,5272560.078,696,0,46,1,0
362,F,0,98,643289.984,5278011.61,739,1,93,1,1
362,F,0,99,645203.4704,5273480.621,647,1,81,2,1
362,F,0,100,650370.1094,5272257.332,682,4,55,8,4
362,F,0,101,633489.9288,5275603.861,748,0,15,5,0
362,F,0,102,646724.0316,5268841.84,728,0,68,7,0
362,F,0,103,638738.5573,5271366.939,593,2,80,1,2
362,F,0,104,612293.7234,5268246.75,712,0,21,0,0
362,F,0,105,650362.5555,5272543.648,684,7,70,7,7
362,F,0,106,621220.1703,5272789.385,599,14,49,2,14
362,F,0,107,651788.3838,5277323.078,693,6,65,5,6
362,F,0,108,652128.4901,5273864.258,749,2,79,2,2
362,F,0,109,639974.4527,5278517.248,747,2,67,5,2
362,F,0,110,642562.4011,5281953.285,645,8,68,9,8
362,F,0,111,633005.8353,5278354.018,698,1,67,7,1
362,F,0,112,651881.3641,5280397.467,578,2,65,8,2
362,F,0,113,638948.561,5280914.66,759,2,83,3,2
362,F,0,114,639164.9658,5281918.835,719,4,60,3,4
362,F,0,115,640206.4098,5273252.375,662,5,69,9,5
362,F,0,116,637903.5146,5276147.88,757,7,73,3,7
362,F,0,117,644536.3887,5273232.859,702,31,32,5,31
362,F,0,119,647247.6624,5280839.373,579,6,45,12,6
362,F,0,120,650218.6405,5279261.269,710,0,90,0,0
362,F,0,121,633348.4391,5278567.775,701,1,91,1,1
362,F,0,122,645086.1963,5272950.775,730,1,52,6,1
362,F,0,123,621189.0415,5271795.009,617,0,83,1,0
362,F,0,124,650936.512,5279554.775,630,14,42,6,14
362,F,0,125,649154.9335,5273877.284,728,0,86,1,0
362,F,0,126,619561.913,5268724.527,692,8,63,4,8
362,F,0,127,646555.3573,5269750.601,742,3,82,4,3
362,F,0,128,624290.4924,5268471.175,788,0,82,2,0
362,F,0,129,640132.562,5270352.295,676,2,7,7,2
362,F,0,130,642036.8319,5270225.01,751,2,80,8,2
362,F,0,131,634969.8888,5277516.756,738,0,84,5,0
362,F,0,132,641824.4542,5282368.912,651,0,86,1,0
362,F,0,134,650503.6997,5280502.138,605,1,86,1,1
362,F,0,135,629365.9229,5276023.902,721,0,78,0,0
362,F,0,136,621119.1028,5268815.369,691,10,68,3,10
362,F,0,137,649302.688,5276404.289,602,2,51,6,2
362,F,0,138,641849.2034,5269192.782,666,28,44,5,28
362,F,0,139,648592.8082,5279866.313,630,1,86,3,1
362,F,0,140,641745.2015,5269642.705,758,0,78,1,0
362,F,0,141,642116.1269,5273694.205,700,0,95,1,0
362,F,0,142,644006.317,5275124.883,643,16,29,3,16
362,F,0,143,645743.4421,5282366.69,690,0,90,0,0
362,F,0,144,632059.2215,5270458.585,637,3,33,7,3
362,F,0,145,644686.6505,5281984.246,659,3,23,11,3
362,F,0,146,639582.4987,5277735.392,777,0,81,5,0
362,F,0,147,649034.4585,5270009.817,760,0,93,0,0
362,F,0,148,651696.2186,5279029.267,687,0,76,5,0
362,F,0,149,635015.9352,5268844.935,755,6,64,3,6
362,F,0,150,647573.9491,5281613.929,578,1,81,8,1
362,F,0,152,638246.5359,5276877.347,740,3,21,10,3
362,F,0,153,628307.685,5270103.002,674,0,91,1,0
362,F,0,154,618888.84,5269678.148,809,0,81,1,0
362,F,0,156,629081.0044,5273360.364,629,10,52,5,10
362,F,0,157,639669.577,5269215.847,732,2,80,5,2
362,F,0,158,633439.6972,5272347.611,612,0,79,2,0
362,F,0,159,638351.8517,5278811.94,748,1,87,5,1
362,F,0,161,648654.3743,5281452.268,605,13,53,5,13
362,F,0,162,647711.4192,5282823.397,579,3,79,2,3
362,F,0,163,646824.902,5274706.679,578,0,67,8,0
362,F,0,164,626769.8502,5269370.863,628,7,44,7,7
362,F,0,166,638593.7008,5277687.667,708,10,63,8,10
362,F,0,167,625799.5417,5268323.558,748,1,84,2,1
362,F,0,168,652209.413,5282360.239,708,20,53,7,20
362,F,0,169,651964.1735,5280374.753,575,17,61,10,17
362,F,0,170,647221.0248,5269293.449,769,0,82,2,0
362,F,0,171,643843.2045,5270926.814,636,4,76,3,4
362,F,0,173,650237.6209,5280009.5,680,7,63,7,7
362,F,0,174,623517.9879,5269866.56,749,26,47,4,26
362,F,0,175,643251.8158,5269377.753,646,6,12,1,6
362,F,0,176,651595.6218,5277353.173,680,4,67,9,4
362,F,0,177,635618.428,5273462.022,743,21,60,10,21
362,F,0,178,643999.5833,5277435.396,740,0,2,0,0
362,F,0,179,645922.5262,5276652.08,731,0,91,0,0
362,F,0,180,642164.2666,5268322.275,622,1,78,1,1
