Created Date,Name,Species,Primary Breed,Sex,Age (Months),Age Group,Primary Color,Days in Custody,Days on Site,Current Weight,Attributes
02/19/2020,Missy,Dog,"Poodle, Miniature",Female,42,Adult Dog (5 months-8 years),White,1,1,,
03/14/2020,Buddy,Dog,Terrier,Male,92,Adult Dog (5 months-8 years),Tan,1,1,,
01/30/2020,Izzy,Dog,"Pinscher, Miniature",Female,35,Adult Dog (5 months-8 years),Black,1,1,,
02/15/2020,Lucy,Dog,Mastiff,Female,64,Adult Dog (5 months-8 years),Brindle,1,1,,
01/29/2020,Flopsy,Dog,"Poodle, Toy",Female,93,Adult Dog (5 months-8 years),White,1,1,,
01/29/2020,Pixie,Dog,"Chihuahua, Long Coat",Female,39,Adult Dog (5 months-8 years),Tan,1,1,,
01/29/2020,Poppy,Dog,"Chihuahua, Long Coat",Female,39,Adult Dog (5 months-8 years),Tan,1,1,,
01/17/2020,Rosie,Dog,"Cattle Dog, Australian (Blue Heeler)",Female,38,Adult Dog (5 months-8 years),Blue Black,1,1,,
01/29/2020,Cody,Dog,"Terrier, American Pit Bull",Male,36,Adult Dog (5 months-8 years),White,1,1,,
03/03/2020,Honey Pearl,Dog,"Terrier, Toy Fox",Female,34,Adult Dog (5 months-8 years),Tan,1,1,,
03/03/2020,Honey Pearl,Dog,"Terrier, Toy Fox",Female,34,Adult Dog (5 months-8 years),Tan,1,1,,
01/30/2020,Emree,Dog,"Terrier, American Staffordshire",Female,45,Adult Dog (5 months-8 years),Black,1,1,,
03/05/2020,Blue,Dog,"Husky, Siberian",Male,57,Adult Dog (5 months-8 years),White,1,1,,
02/20/2020,Scarlett,Dog,"Shepherd, German",Female,36,Adult Dog (5 months-8 years),Black,1,1,,
01/17/2020,Curly Fry,Dog,"Poodle, Miniature",Male,129,Senior (8+years),Black,2,2,10.8 lbs,
01/17/2020,Curly Fry,Dog,"Poodle, Miniature",Male,129,Senior (8+years),Black,1,1,10.8 lbs,
01/17/2020,Curly Fry,Dog,"Poodle, Miniature",Male,129,Senior (8+years),Black,1,1,10.8 lbs,
01/17/2020,Curly Fry,Dog,"Poodle, Miniature",Male,129,Senior (8+years),Black,1,1,10.8 lbs,
01/17/2020,Curly Fry,Dog,"Poodle, Miniature",Male,129,Senior (8+years),Black,1,1,10.8 lbs,
01/17/2020,Curly Fry,Dog,"Poodle, Miniature",Male,129,Senior (8+years),Black,1,1,10.8 lbs,
01/17/2020,Curly Fry,Dog,"Poodle, Miniature",Male,129,Senior (8+years),Black,1,1,10.8 lbs,
09/01/2020,Coco,Dog,"Terrier, American Pit Bull",Female,141,Senior (8+years),Grey,1,1,65.3 lbs,Angel Pet
09/01/2020,Coco,Dog,"Terrier, American Pit Bull",Female,141,Senior (8+years),Grey,1,1,65.3 lbs,Angel Pet
02/11/2020,Daisy,Dog,Shih Tzu,Female,69,Adult Dog (5 months-8 years),White,1,1,,
