DOY,ET,wind_speed,Rs,Rs_reflected,Rn,RH,air_temp
134,9.302,4.177,51.399,12.579,31.173,51.399,22.579
135,9.406,3.506,43.132,10.096,31.512,43.132,20.096
136,9.294,3.131,40.328,10.182,31.053,40.328,20.182
137,6.346,4.997,65.654,4.672,30.686,65.654,14.672
138,7.395,3.495,62.601,5.466,30.904,62.601,15.466
139,9.11,5.865,59.776,9.165,28.924,59.776,19.165
140,8.34,4.059,62.677,10.765,30.331,62.677,20.765
141,6.882,3.376,74.19,8.592,29.985,74.19,18.592
142,8.821,3.529,56.948,12.674,28.818,56.948,22.674
143,5.785,3.275,73.451,8.225,23.693,73.451,18.225
144,5.544,3.279,75.049,8.46,19.398,75.049,18.46
145,5.504,3.655,81.091,7.476,23.589,81.091,17.476
146,3.461,2.703,86.996,5.647,16.599,86.996,15.647
147,2.604,1.671,88.972,3.842,13.841,88.972,13.842
148,4.639,1.421,82.109,5.504,24.159,82.109,15.504
149,3.878,3.087,86.663,7.641,18.538,86.663,17.641
150,9.398,3.04,65.671,11.422,31.203,65.671,21.422
151,7.002,1.815,62.492,11.956,25.213,62.492,21.956
152,8.22,2.381,57.552,9.654,32.204,57.552,19.654
153,6.365,4.609,72.944,12.20814,19.04,72.944,23.26
154,2.964,4.353,64.101,14.013,30.062,64.101,24.013
155,3.678,6.641,56.085,14.84731,29.419,56.085,26
156,3.069,5.045,41.957,13.629,27.247,41.957,23.629
157,3.045,4.263,37.084,11.677,32.965,37.084,21.677
158,2.908,5.084,64.564,13.093,28.86,64.564,23.093
159,5.648,6.261,60.992,13.88172,29.089,60.992,24.47
160,5.729,4.924,61.58179,13.87357,29.584,61.64482,24.39
161,4.799,4.387,76.503,10.862,23.377,76.503,20.862
162,1.322,3.68,87.953,7.667,8.257,87.953,17.667
163,5.088,3.173,76.897,8.772,28.678,76.897,18.772
164,4.559,4.136,74.741,7.699,22.591,74.741,17.699
165,4.983,1.412,58.91665,10.29014,20.523,57.90663,19.83
166,6.201,1.799,59.47288,11.044,21.898,58.99395,20.63
167,6.394,2.495,75.266,6.459,29.769,75.266,16.459
168,4.911,1.836,76.139,5.644,21.809,76.139,15.644
169,7.467,2.811,70.641,11.407,23.261,70.641,21.407
170,6.674,1.454,63.18914,13.42103,22.975,63.01059,24.17
171,5.536,1.698,61.84743,11.97291,20.965,61.35977,21.8
172,1.979,1.947,69.28608,10.6426,13.674,64.98037,21.33
173,7.956,2.469,63.81327,13.80766,30.362,63.3837,23.62
174,9.831,1.515,56.75295,15.46225,32.026,56.88463,26.92
175,8.26,1.57,68.163,14,29.265,68.163,24
176,8.26,2.62496,74.827,11.726,28.045,74.827,21.726
177,8.965,2.49915,74.906,11.737,30.665,74.906,21.737
178,10.928,1.951,57.584,18.355,29.36,57.584,28.355
179,9.086,2.063,65.795,14.61,26.451,65.795,24.61
180,11.417,2.182,65.436,15.634,30.743,65.436,25.634
181,8.461,1.879,69.99,15.342,30.313,69.99,25.342
182,9.422,2.113,74.488,14.546,29.667,74.488,24.546
183,12.843,3.025,65.142,16.518,28.527,65.142,26.518
184,11.169,3.402,67.901,15.048,27.915,67.901,25.048
