ID,LMT_Date,LMT_Time,DOP,elevation,slope,sin_aspect,cos_aspect,VRM21,dist2drainage,dist2spring,veg_class,used
20015,4/19/2016,0:00,2.8,2169.09,70.9085,1.24785,0.0312023,0.0806723,181.135,2240.3,Sparsely Vegetated,1
20015,5/1/2016,0:01,3,2225.82,90.8053,0.103127,0.557711,0.157718,264.804,2162.01,Shrubland,1
20015,5/4/2016,0:00,2.4,2151.9,80.5932,1.40382,0.0851635,0.133892,204.022,2198.77,Shrubland,1
20018,6/1/2016,20:00,4,1682.42,43.0872,1.02915,1.99958,0.0365408,373.852,3726.94,Shrubland,1
20018,5/20/2016,4:00,5.8,1743.45,45.6943,2.78E-05,0.992544,0.0937077,72.9452,3429.13,Shrubland,1
20018,5/20/2016,8:00,2.6,1821.37,65.0239,0.529394,0.117657,0.181464,161.447,3513.26,Shrubland,1
20018,5/20/2016,12:00,2.2,1821.37,65.0239,0.529394,0.117657,0.181464,165.593,3517.14,Shrubland,1
20018,6/4/2016,16:00,2.2,1867.37,43.1743,1.89283,1.4504,0.110405,288.877,3637.15,Shrubland,1
20018,6/5/2016,4:00,1.8,1855.23,103.75,0.307246,0.278826,0.124188,172.467,3434.57,Shrubland,1
20018,6/5/2016,8:00,3,1855.23,96.9268,1.93618,1.35151,0.140866,171.724,3435.07,Shrubland,1
20018,6/5/2016,12:01,3.4,1855.23,96.9268,1.93618,1.35151,0.140866,174.141,3440.95,Shrubland,1
20018,6/4/2016,4:00,1.8,1930.44,71.994,1.92034,1.39111,0.135575,438.912,3463.25,Shrubland,1
20018,6/4/2016,8:00,3.2,1922.79,84.0415,1.962,1.27305,0.125375,442.634,3464.44,Shrubland,1
20018,6/4/2016,12:00,3,1930.44,71.8928,1.86074,1.50904,0.132123,438.965,3470.81,Shrubland,1
20018,6/4/2016,20:01,3.6,1812.79,135.47,1.94826,1.31749,0.167055,320.053,3573.45,Shrubland,1
20018,6/2/2016,0:01,4.2,1797.09,108.406,0.514094,1.87401,0.0595087,91.7061,3768.64,Shrubland,1
20018,6/3/2016,20:00,3.2,1881.94,56.826,0.473866,0.149598,0.0315805,194.031,3290.19,Shrubland,1
20018,6/4/2016,0:00,3,1967.16,42.4391,0.186159,1.58109,0.206192,343.001,3313.92,Shrubland,1
20018,6/2/2016,4:00,2.8,1846.27,69.8629,1.88252,1.47028,0.0931239,172.905,3528.59,Shrubland,1
20018,6/2/2016,8:00,2.2,1846.27,69.8629,1.88252,1.47028,0.0931239,173.072,3527.81,Shrubland,1
20018,6/2/2016,12:00,3.4,1839.1,73.3592,1.83598,1.54875,0.0913574,162.077,3534.7,Shrubland,1
20018,6/5/2016,0:00,4.4,1888.29,109.877,0.694131,0.0479265,0.109824,371.034,3406.23,Shrubland,1
20018,5/20/2016,16:00,3.2,2045.61,73.2787,0.334869,0.253274,0.124522,116.692,2670.67,Sparsely Vegetated,1
20018,5/23/2016,4:00,3,2031.65,136.479,0.638475,0.0676377,0.100328,258.124,3076.17,Shrubland,1
20018,5/23/2016,8:00,4.4,2031.65,136.479,0.638475,0.0676377,0.100328,260.094,3078.12,Shrubland,1
20018,5/23/2016,12:00,3.4,2058.93,113.386,0.00523639,1.1022,0.127905,276.355,3081.35,Shrubland,1
20018,5/20/2016,20:00,4,2019.76,151.267,0.256243,1.66845,0.141819,83.4865,2604.04,Sparsely Vegetated,1
20018,5/21/2016,4:00,3.2,2075.21,258.848,1.99467,1.10309,0.225103,35,2494.85,Sparsely Vegetated,1
20018,5/21/2016,8:01,4.8,1992.43,72.9507,1.91155,0.58882,0.276791,13.4164,2548.69,Shrubland,1
