COLLECTION_Date,TRACE,LONG,LAT,ELEV [m],TWT [ns],"SNOW DEPTH [m, assuming velocity of 0.234 m/ns]",SWE [mm assuming density of 335 kg/m3],EASTING,NORTHING,UTM_ZONE,TRANSECT
GPR_0042_020817,10539,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10540,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10541,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10542,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10543,-108.064534,39.04448083,-999,5.5601,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10544,-108.064534,39.04448083,-999,5.5114,0.645,216,754050.8547,4325821.748,12S,46
GPR_0042_020817,10545,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10546,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10547,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10548,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10549,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10550,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10551,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10552,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10553,-108.064534,39.04448083,-999,5.5114,0.645,216,754050.8547,4325821.748,12S,46
GPR_0042_020817,10554,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10555,-108.064534,39.04448083,-999,5.5601,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10556,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10557,-108.064534,39.04448083,-999,5.5601,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10558,-108.064534,39.04448083,-999,5.5113,0.651,218,754050.8547,4325821.748,12S,46
GPR_0042_020817,10559,-108.064534,39.04448083,-999,5.6089,0.656,220,754050.8547,4325821.748,12S,46
GPR_0042_020817,10560,-108.0645339,39.04448083,-999,5.5601,0.656,220,754050.8619,4325821.748,12S,46
GPR_0042_020817,10561,-108.0645338,39.04448083,-999,5.6089,0.656,220,754050.8691,4325821.748,12S,46
GPR_0042_020817,10562,-108.0645337,39.04448083,-999,5.5113,0.651,218,754050.8763,4325821.748,12S,46
GPR_0042_020817,10563,-108.0645336,39.04448083,-999,5.5113,0.651,218,754050.8835,4325821.749,12S,46
GPR_0042_020817,10564,-108.0645335,39.04448083,-999,5.5601,0.651,218,754050.8907,4325821.749,12S,46
